Channel,Watch time,Stream time,Peak viewers,Average viewers,Followers Prev Yr,Followers,Followers gained,Partnered,Mature,Mean weekly watch hours,Mean weekly stream hours,Followers / 100000,1 / Average viewers,ln(Followers),ln(Average viewers),ln(Mean weekly watch hours),ln(Mean weekly stream hours)
shroud,2349633915,144330,156716,16279,10459150,10760732,301582,1,0,753087.7932692308,46.25961538461539,107.60732,0.00006142883469500583,16.191414140123772,9.69763121260851,13.53193709131279,3.834269342558081
우왁굳 (woowakgood),2325432015,125340,65775,18552,934877,1044291,109414,1,0,745330.7740384615,40.17307692307692,10.44291,0.000053902544200086246,13.858848744217346,9.828332878935367,13.521583390824349,3.693197042975138
NoWay4u_Sir,2290522215,187920,48646,12188,590568,661198,70630,1,0,734141.7355769231,60.23076923076923,6.61198,0.00008204791598293403,13.401808620121043,9.408207140105599,13.50645738919624,4.0981833385292665
Nix,2276896935,62055,272205,36691,442515,760715,318200,1,1,729774.6586538461,19.889423076923077,7.60715,0.000027254640102477445,13.542014059471144,10.510286772360844,13.50049107869545,2.9901880867600936
k3soju,2233826220,146310,30882,15267,445286,563099,117813,1,0,715969.9423076923,46.89423076923077,5.63099,0.00006550075325866247,13.241210735357631,9.633448915256942,13.481393465044407,3.84789465656868
ElSpreen,2212321215,48480,403954,45633,6303875,9064326,2760451,1,0,709077.3125,15.538461538461538,90.64326,0.000021913965770385466,16.019857047503926,10.728386417979852,13.471719843998127,2.743318339939668
LIRIK,2209898940,125355,56762,17629,2917255,2961886,44631,1,0,708300.9423076923,40.17788461538461,29.61886,0.000056724714958307334,14.901336785560778,9.777300552285743,13.470624342120177,3.693316710300118
Rubius,2164172550,87960,357257,24603,13404407,14848698,1444291,1,0,693645.0480769231,28.192307692307693,148.48698,0.000040645449741901396,16.513422742601474,10.110623665704521,13.449715650547216,3.3390491638651696
BLASTPremier,2076746145,50430,440432,41180,1479203,1899354,420151,1,0,665623.7644230769,16.16346153846154,18.99354,0.000024283632831471587,14.457024386323564,10.62570798058178,13.408479871612403,2.782753234267243
풍월량 (hanryang1125),2064079320,166740,35130,12378,599299,617352,18053,1,0,661563.8846153846,53.44230769230769,6.17352,0.00008078849571820973,13.333194642644,9.423675982299306,13.402361833256336,3.978602711161076
Kamet0,2062544310,121530,137733,16971,1564860,1834264,269404,1,0,661071.8942307692,38.95192307692308,18.34264,0.000058924046903541334,14.422153869094476,9.739261284011265,13.401617878775175,3.662328144061318
Quin69,1993852185,176880,53894,11272,723245,822139,98894,1,0,639055.1875,56.69230769230769,8.22139,0.0000887154009936125,13.619664759499255,9.330077053578517,13.367746095045105,4.0376385347278
Baiano,1903927485,106725,154553,17839,821141,966219,145078,1,1,610233.1682692308,34.20673076923077,9.66219,0.00005605695386512697,13.781145795574798,9.789142350751268,13.321596406177537,3.532422430822635
Riot Games (riotgames),1849771905,34950,824255,52926,6549087,6855524,306437,1,0,592875.6105769231,11.201923076923077,68.55524,0.00001889430525639572,15.740565308611462,10.876649990486822,13.292739893037119,2.416085466858428
ohnePixel,1813814130,123300,236159,14710,336502,1122289,785787,1,0,581350.6826923077,39.51923076923077,11.22289,0.00006798096532970769,13.930880907655414,9.596282813595483,13.273109438418432,3.6767874083489076
LEC,1812610305,48120,211881,37668,1855050,2036848,181798,1,0,580964.8413461539,15.423076923076923,20.36848,0.000026547732823616865,14.52691407288623,10.536566206629955,13.272445519968842,2.735864889285087
ElMariana,1801683135,55245,159115,32612,6441558,9350442,2908884,1,0,577462.5432692308,17.70673076923077,93.50442,0.000030663559425978165,16.050934172874822,10.392435597782802,13.266398859134716,2.8739448367437475
Gorgc,1796462325,153735,48808,11685,631241,709180,77939,1,0,575789.2067307692,49.27403846153846,7.0918,0.00008557980316645271,13.471864651994919,9.366061246972958,13.263496912161271,3.897397339130245
elxokas,1790272935,116805,94536,15327,3245645,3871436,625791,1,0,573805.4278846154,37.4375,38.71436,0.00006524434005350036,15.169136055611963,9.637371257998907,13.260045642025641,3.622672875875668
alanzoka,1786627350,105090,76716,17001,6246907,6947972,701065,1,0,572636.9711538461,33.68269230769231,69.47972,0.0000588200694076819,15.75396037639834,9.741027444837728,13.258007236718342,3.516984124056114
TheGrefg,1765809090,85185,1745462,20728,10599590,11878408,1278818,1,0,565964.4519230769,27.302884615384617,118.78408,0.000048243921265920496,16.29023285618506,9.939240722241946,13.246286549423337,3.3069923601761144
Tumblurr,1765143120,113715,47393,15522,1084890,1428305,343415,1,0,565751,36.44711538461539,14.28305,0.00006442468754026543,14.171998984509719,9.650013651414085,13.245909331059401,3.595862316354986
k4sen,1729466070,145350,114565,11898,516957,736484,219527,1,0,554316.0480769231,46.58653846153846,7.36484,0.00008404773911581779,13.509642790276814,9.38412559774785,13.22549028695871,3.841311625183494
stylishnoob4,1715324730,97650,66491,17565,947732,1041131,93399,1,0,549783.5673076923,31.298076923076923,10.41131,0.000056931397665812695,13.855818180217794,9.773663564699927,13.217279965775692,3.443556655501297
Trymacs,1711687935,127680,74903,13406,3269581,3518844,249263,1,0,548617.9278846154,40.92307692307692,35.18844,0.00007459346561241235,15.073643084545296,9.503457646917903,13.215157536289297,3.7116941318801073
LuquEt4,1702272870,75240,180846,22624,1110555,1709416,598861,1,0,545600.2788461539,24.115384615384617,17.09416,0.0000442008486562942,14.35166234967961,10.0267665686963,13.209641896592919,3.182850002611439
just_ns,1674125415,115785,93182,14458,575992,725915,149923,1,1,536578.6586538461,37.11057692307692,7.25915,0.00006916585973163646,13.495188207062741,9.579003173560242,13.19296844475869,3.6139020212485358
scump,1653994935,83265,176972,19864,1374806,1657511,282705,1,0,530126.5817307692,26.6875,16.57511,0.000050342327829238826,14.320827637520887,9.896664327188002,13.180871090466416,3.284195290988843
LVNDMARK,1634585340,162975,165048,10029,1061596,1214015,152419,1,0,523905.5576923077,52.23557692307692,12.14015,0.00009971083856815236,14.009443606373683,9.213236175088209,13.16906671364756,3.955763812989212
sodapoppin,1626781920,106230,100121,15313,8821549,8886559,65010,1,1,521404.46153846156,34.04807692307692,88.86559,0.0000653039900737935,16.000050468444453,9.636457419815208,13.164281337288928,3.527773552970531
JLTomy,1599410550,151800,37112,10536,1131694,1234034,102340,1,0,512631.58653846156,48.65384615384615,12.34034,0.00009491268033409264,14.025799035742132,9.262553243423117,13.147312711260364,3.8847308631401387
gabepeixe,1599111795,180375,38741,8865,1077319,1454832,377513,1,0,512535.83173076925,57.8125,14.54832,0.00011280315848843768,14.190400988003733,9.089866218508309,13.147125903122953,4.057205015272644
loltyler1,1594283745,97320,52943,16381,5171598,5296635,125037,1,0,510988.3798076923,31.192307692307693,52.96635,0.00006104633416763323,15.482582271224022,9.703877405604631,13.144102128824919,3.440171516093931
dota2_paragon_ru,1587863475,96570,260463,16442,11499,235527,224028,1,0,508930.60096153844,30.951923076923077,2.35527,0.0000608198515995621,12.369580835548366,9.707594315712079,13.14006694235003,3.4324351321574356
MOONMOON,1582172430,115440,28517,13705,1146776,1178638,31862,1,1,507106.54807692306,37,11.78638,0.00007296607077708865,13.979870092508826,9.525516008736886,13.136476414491938,3.6109179126442243
MontanaBlack88,1538908935,64455,202216,23875,4835672,5273464,437792,1,1,493240.04326923075,20.658653846153847,52.73464,0.0000418848167539267,15.478198010089745,10.08058716534893,13.10875123770896,3.028134304073677
CohhCarnage,1519197690,159945,70985,9498,1475642,1564050,88408,1,0,486922.33653846156,51.26442307692308,15.6405,0.0001052853232259423,14.262789168885849,9.158836529109067,13.095859916120542,3.9369970043168614
Clix,1511255235,111420,129457,13563,5876610,7173148,1296538,1,0,484376.6778846154,35.71153846153846,71.73148,0.0000737300007373,15.785855167824755,9.515100775962715,13.0906181431036,3.575473842771278
Caedrel,1503163725,103815,185921,14479,449558,677284,227726,1,0,481783.2451923077,33.27403846153846,6.77284,0.00006906554320049727,13.42584596171416,9.58045460278142,13.085249593116774,3.504777467140545
だるまいずごっど (darumaisgod),1490883510,47580,102021,31334,518930,816390,297460,1,0,477847.2788461539,15.25,8.1639,0.00003191421459117891,13.61264746094521,10.352459048953433,13.077046460100638,2.7245795030534206
GRONKH,1488898305,75240,82463,19788,1537409,1650107,112698,1,1,477210.9951923077,24.115384615384617,16.50107,0.00005053567818880129,14.31635069225904,9.8928309723476,13.075714009997263,3.182850002611439
Mizkif,1450168260,68445,75678,21187,2051027,2074909,23882,1,0,464797.51923076925,21.9375,20.74909,0.000047198753952895644,14.545427855263572,9.96114306502429,13.049357147222397,3.0881975012260847
ファン太 (fantasista_jp),1446793575,157425,46884,9190,28490,244577,216087,1,0,463715.88942307694,50.45673076923077,2.44577,0.0001088139281828074,12.407285466742874,9.125871215349733,13.047027336393882,3.9211161525534153
らっだぁ (raderaderader),1441401075,97290,69696,14815,423569,645738,222169,1,0,461987.52403846156,31.182692307692307,6.45738,0.00006749915626054674,13.378149127742446,9.603395460007665,13.0432931654535,3.439863207165945
Gotaga,1420050585,94200,179352,15074,3858312,4286290,427978,1,0,455144.41826923075,30.192307692307693,42.8629,0.00006633939233116624,15.270932114882536,9.620726684403415,13.028370050360996,3.4075871797609265
rivers_gg,1413502365,62400,213846,22652,2493355,5826481,3333126,1,0,453045.6298076923,20,58.26481,0.00004414621225498852,15.577923774027296,10.028003427233696,13.023748127444742,2.995732273553991
TSM_ImperialHal,1362200460,108480,50783,12557,1775486,1983833,208347,1,0,436602.71153846156,34.76923076923077,19.83833,0.00007963685593692761,14.50054138989708,9.438033557988964,12.98677893365694,3.5487328223706944
ESL_DOTA2,1329626310,352665,157027,3770,646184,755006,108822,1,0,426162.2788461539,113.03365384615384,7.55006,0.0002652519893899204,13.534480975219452,8.234830280442056,12.96257548897229,4.727685596019656
forsen,1326744930,123255,40472,10764,1658559,1739385,80826,1,1,425238.7596153846,39.50480769230769,17.39385,0.0000929022668153103,14.369042160437285,9.283962511846797,12.960406077493445,3.6764223782298697
GamesDoneQuick,1307893305,169785,90350,7703,1975564,2019426,43862,1,0,419196.5721153846,54.41826923076923,20.19426,0.00012981955082435416,14.518323870580893,8.949365142352965,12.946095234749869,3.9966999289311023
VALORANT,1307702820,91830,307528,14240,3523668,4172539,648871,1,0,419135.51923076925,29.432692307692307,41.72539,0.0000702247191011236,15.244035281388765,9.563810184965966,12.945949581528781,3.38210603980404
蝦愛橘子 (shuteye_orange),1296579540,487500,9393,2659,149794,174372,24578,1,1,415570.3653846154,156.25,1.74372,0.000376081233546446,12.068946227108697,7.88570539124302,12.937407230045535,5.051457288616511
LCK,1291171080,38265,236385,33742,1560376,1820772,260396,1,0,413836.8846153846,12.264423076923077,18.20772,0.000029636654614427123,14.41477114494002,10.42649863116592,12.93322717665608,2.5067026384404936
casimito,1282015875,82080,177746,15619,3448391,3814716,366325,1,1,410902.52403846156,26.307692307692307,38.14716,0.00006402458544080927,15.154376776941474,9.656243400857722,12.926111297560013,3.2698613796010685
Elajjaz,1266167580,154935,22282,8172,447477,474833,27356,1,0,405822.9423076923,49.65865384615385,4.74833,0.00012236906510034264,13.070718442251042,9.008468955937513,12.913672240773023,3.9051726723053157
NICKMERCS,1235634450,85815,43424,14398,6608275,6716696,108421,1,0,396036.6826923077,27.504807692307693,67.16696,0.00006945409084595083,15.720106924924977,9.574844587029249,12.889262119007823,3.3143608145672108
Roier,1224334710,69225,300741,17686,736657,2370323,1633666,1,0,392414.9711538461,22.1875,23.70323,0.000056541897546081646,14.678536790744927,9.78052864513568,12.880075158733126,3.0995290672356344
juansguarnizo,1223205720,71970,202503,16996,9572831,11167868,1595037,1,0,392053.1153846154,23.067307692307693,111.67868,0.000058837373499646975,16.2285512844302,9.740733301234702,12.879152608023658,3.138416363698322
Thebausffs,1188178425,89565,26627,13266,920882,1207539,286657,1,0,380826.41826923075,28.70673076923077,12.07539,0.00007538067239559776,14.004094962123936,9.492959650085501,12.850098955199977,3.3571316168456744
괴물쥐123 (tmxk319),1160237235,147495,60460,7866,833913,924396,90483,1,0,371870.9086538461,47.27403846153846,9.24396,0.0001271294177472667,13.736895830241888,8.970304952991755,12.826302053282273,3.855961275078838
Jahrein,1157118585,83865,147761,13797,1735604,1910651,175047,1,1,370871.3413461539,26.879807692307693,19.10651,0.00007247952453431905,14.462954579647175,9.532206456208034,12.82361049262004,3.2913753613253274
ironmouse,1153815780,141105,29501,8177,1467335,1883510,416175,1,1,369812.75,45.22596153846154,18.8351,0.00012229423994129877,14.448647615364806,9.009080614161977,12.820752075437074,3.8116712922706335
Call of Duty (callofduty),1139513730,32520,162194,35040,1517111,2046111,529000,1,0,365228.7596153846,10.423076923076923,20.46111,0.000028538812785388127,14.531451476221525,10.464245545050328,12.808279174918257,2.344022282858219
Maximilian_DOOD,1134499710,108315,59146,10474,1161141,1261545,100404,1,0,363621.70192307694,34.71634615384615,12.61545,0.00009547450830628223,14.047847718246288,9.256651274839433,12.803869325761394,3.5472106467498636
Rainbow6,1132080615,83745,122805,13518,2458561,2723546,264985,1,1,362846.35096153844,26.841346153846153,27.23546,0.00007397544015386891,14.817445265694442,9.511777409660299,12.80173474805254,3.2899434656090425
VALORANT_jpn,1132014570,64815,92906,17465,394537,525444,130907,1,0,362825.1826923077,20.77403846153846,5.25444,0.0000572573718866304,13.171998898444649,9.767954157240933,12.801676406865779,3.033704056230615
betboom_ru,1112784555,94245,68467,11807,239060,349322,110262,1,0,356661.7163461539,30.20673076923077,3.49322,0.00008469551960701279,12.763749411920646,9.37644785490711,12.784543038270353,3.408064772701629
RocketLeague,1097012820,31920,217295,34367,3831703,4167483,335780,1,0,351606.67307692306,10.23076923076923,41.67483,0.000029097680914831087,15.242822814414604,10.444852080610952,12.770268423785193,2.325399770760217
Bonjwa,1074494205,244770,19671,4389,219305,236478,17173,1,0,344389.16826923075,78.45192307692308,2.36478,0.000227842333105491,12.37361045933138,8.386856689688234,12.749527600022626,4.362485992287428
YoDa,1070420595,143970,22608,7434,2382594,2437634,55040,1,0,343083.52403846156,46.14423076923077,24.37634,0.00013451708366962604,14.706538454702079,8.913819350857198,12.745729206820467,3.831771942716873
sasatikk,1065509220,162105,38676,6572,187182,325814,138632,1,0,341509.3653846154,51.95673076923077,3.25814,0.00015216068167985393,12.694081945374792,8.790573479157159,12.741130381876433,3.9504112716018476
BastiGHG,1051796040,156270,46542,6730,1256970,1707002,450032,1,0,337114.1153846154,50.08653846153846,17.07002,0.00014858841010401187,14.350249173422053,8.814330422638774,12.728176773334573,3.913752278603819
LVPes,1044304365,155520,102115,6714,1044989,1101904,56915,1,0,334712.9375,49.84615384615385,11.01904,0.00014894250819183795,13.912550150562755,8.81195017753998,12.721028540470895,3.908941338890738
CBLOL,1038272565,53460,139259,19421,1528624,1611063,82439,1,0,332779.66826923075,17.134615384615383,16.11063,0.00005149065444621801,14.292404767539738,9.874110233825451,12.715235893121928,2.841100708889382
ZeratoR,1030991655,84915,158751,12141,1497037,1542441,45404,1,0,330446.04326923075,27.216346153846153,15.42441,0.00008236553825879252,14.248876784435332,9.404343433543975,12.708198667061534,3.3038177543353417
JonVlogs,1023443325,91785,88886,11150,1267192,1851253,584061,1,0,328026.70673076925,29.41826923076923,18.51253,0.00008968609865470852,14.431373265089503,9.319194776888265,12.700850307011274,3.3816158837612225
Recrent,1019957070,181935,25954,5606,953885,1148645,194760,1,0,326909.3173076923,58.3125,11.48645,0.00017838030681412772,13.954093544774787,8.631592731724734,12.697438094318034,4.065816478607562
knekro,994994640,144360,43676,6892,963329,1120195,156866,1,0,318908.53846153844,46.26923076923077,11.20195,0.00014509576320371445,13.929013335259246,8.83811659764782,12.672659627370155,3.8344771779531968
Jinnytty,981464055,163335,26902,6008,851881,991959,140078,1,0,314571.8125,52.35096153846154,9.91959,0.00016644474034620507,13.807437054767714,8.700847193443972,12.658967667690085,3.957970304644743
davooxeneize,974350365,70350,70524,13850,784172,1738590,954418,1,0,312291.7836538461,22.548076923076923,17.3859,0.00007220216606498195,14.368584997856274,9.536040511615484,12.651693233779532,3.115649781739007
LCS,955888950,42135,130120,22686,1882740,1967479,84739,1,0,306374.66346153844,13.504807692307692,19.67479,0.000044080049369655294,14.492263585773278,10.029503273118987,12.632564022377059,2.6030457474029256
Pestily,952015215,157920,158562,6028,1290198,1356326,66128,1,0,305133.08173076925,50.61538461538461,13.56326,0.00016589250165892502,14.120290131567259,8.704170559746386,12.628503293967256,3.9242555738637805
Foolish,946678155,146385,32120,6467,1805704,2190680,384976,1,0,303422.48557692306,46.91826923076923,21.9068,0.00015463120457708364,14.59972255587993,8.774467601446593,12.622881455137634,3.8484071354401435
서새봄냥 (saddummy),941517090,197670,16558,4763,655814,680133,24319,1,0,301768.29807692306,63.35576923076923,6.80133,0.0002099517111064455,13.430043646262698,8.46863300080086,12.6174147769785,4.148765971772447
gerardromero,939065310,100995,71123,9298,366042,713416,347374,1,0,300982.4711538461,32.37019230769231,7.13416,0.00010755001075500108,13.477819979465913,9.13755460225053,12.614807306665986,3.4772380088439627
Maximum,938437650,123660,105456,7588,442584,498227,55643,1,0,300781.29807692306,39.63461538461539,4.98227,0.00013178703215603585,13.118811075444084,8.934323331054905,12.614138695178543,3.6797028623090315
Agent00,934324065,113160,126485,8256,557830,1419690,861860,1,0,299462.8413461539,36.26923076923077,14.1969,0.00012112403100775194,14.165949095885223,9.018695487721343,12.609745619879362,3.5909697446119755
QuickyBaby,933578190,151830,25201,6148,539697,603814,64117,1,0,299223.7788461539,48.66346153846154,6.03814,0.00016265452179570593,13.311021482471665,8.723882104658486,12.608946996677696,3.8849284720727053
Forever,928423605,71220,70388,13035,715240,1306097,590857,1,1,297571.66826923075,22.826923076923077,13.06097,0.00007671653241273494,14.082553858648497,9.475393326367602,12.60341037670097,3.1279406760282407
Distortion2,928198860,176430,20560,5261,521683,635551,113868,1,1,297499.6346153846,56.54807692307692,6.35551,0.00019007793195210037,13.362247618161904,8.568076401730806,12.603168275783487,4.035091195318583
Stray228,913404135,102300,49312,8928,1363931,1562435,198504,1,0,292757.73557692306,32.78846153846154,15.62435,0.00011200716845878136,14.26175605972739,9.096947684621092,12.58710070494322,3.49007667113619
PGL_Dota2,903161775,76575,74804,11794,373792,435846,62054,1,0,289474.9278846154,24.54326923076923,4.35846,0.00008478887569950823,12.985044248928297,9.37534620656045,12.575823967355701,3.200437650897448
랄로 (aba4647),896545395,64995,56744,13794,579633,686990,107357,1,0,287354.29326923075,20.83173076923077,6.8699,0.0000724952878062926,13.44007501505779,9.531988993991236,12.568471204729896,3.0364773420385913
叶ちゃんねる (kanae_2434),886814190,79035,35778,11220,327146,533781,206635,0,0,284235.3173076923,25.33173076923077,5.33781,0.000089126559714795,13.187740921463709,9.325453179076687,12.557557756128062,3.2320577905079677
VooDooSh,880342830,150960,52516,5831,249175,357123,107948,1,0,282161.16346153844,48.38461538461539,3.57123,0.0001714971702966901,12.785835539237379,8.670943791222156,12.550233688312044,3.8791818992389038
caseoh_,879870615,82980,57721,10603,1266682,2848215,1581533,1,0,282009.8125,26.596153846153847,28.48215,0.00009431293030274451,14.862203040237691,9.268892258925797,12.549697145414171,3.280766613083331
Hype,878479410,66405,83333,13229,607657,792835,185178,1,1,281563.91346153844,21.283653846153847,7.92835,0.00007559150351500492,13.583370408349385,9.49016666846238,12.54811474683537,3.057939353030823
Squeezie,862318200,18165,1340960,47471,4095096,4922515,827419,1,0,276384.03846153844,5.822115384615385,49.22515,0.00002106549261654484,15.409330136722872,10.76787427725986,12.529546621239788,1.7616636638517744
Nmplol,858558585,58680,61234,14631,1043314,1090980,47666,1,0,275179.0336538461,18.807692307692307,10.9098,0.0000683480281593876,13.902586932841496,9.590897844378162,12.525177196288187,2.9342659514533898
PENTA,857520240,144375,20710,5939,347995,360247,12252,1,1,274846.23076923075,46.27403846153846,3.60247,0.00016837851490149856,12.794545186276782,8.68929604801586,12.523967059420825,3.834581079454667
RTAinJapan,857428890,34425,103320,24907,322157,399892,77735,1,0,274816.95192307694,11.033653846153847,3.99892,0.000040149355602842574,12.898949789633557,10.122904167442703,12.523860525648495,2.4009500427933275
EsfandTV,849791880,156105,48364,5443,1231827,1332223,100396,1,0,272369.1923076923,50.03365384615385,13.32223,0.00018372221201543268,14.102359533487157,8.6020856584342,12.51491374960635,3.9126958559365415
Symfuhny,837064935,148935,23639,5620,3841166,3972401,131235,1,0,268290.04326923075,47.73557692307692,39.72401,0.00017793594306049823,15.194881255748294,8.634086942887738,12.49982392528616,3.865676967332276
aminematue,833715465,20700,153299,40276,1946426,2462474,516048,1,0,267216.4951923077,6.634615384615385,24.62474,0.000024828682093554473,14.716677093597006,10.603511037035506,12.495814452243339,1.8923006984499324
Lord_Kebun,824864115,79095,27594,10428,497497,616820,119323,1,0,264379.52403846156,25.35096153846154,6.1682,0.00009589566551591868,13.332332526127095,9.252249775053393,12.485140940838486,3.232816659829152
Dantes,819588285,172065,26272,4763,274753,868722,593969,0,0,262688.5528846154,55.14903846153846,8.68722,0.0002099517111064455,13.674778445125908,8.46863300080086,12.478724399865504,4.01003931057995
bratishkinoff,817438395,70620,49249,11575,2419770,2792505,372735,1,1,261999.48557692306,22.634615384615383,27.92505,0.00008639308855291577,14.842449600434186,9.356602878954435,12.476097819294448,3.1194803886788494
dota2ti,802051665,7485,284592,107154,1131896,1227361,95465,1,0,257067.84134615384,2.3990384615384617,12.27361,0.000009332362767605502,14.020376893949669,11.582022331049554,12.45709530315187,0.8750680160502007
Kyedae,795156000,81975,36401,9700,2087462,2707118,619656,1,1,254857.6923076923,26.27403846153846,27.07118,0.00010309278350515464,14.811395158337193,9.179881164491475,12.448460598980288,3.268581320909321
AdmiralBahroo,793744215,141930,16641,5592,837399,841252,3853,1,0,254405.19711538462,45.49038461538461,8.41252,0.000178826895565093,13.64264653735281,8.629092283913646,12.446683539152112,3.817500976489775
Coreano,787848870,208245,55491,3783,553443,686575,133132,1,0,252515.66346153847,66.7451923076923,6.86575,0.0002643404705260375,13.439470748040753,8.23827262463303,12.439228559284595,4.200882269333484
stegi,787018245,417630,47341,1884,379280,697483,318203,1,0,252249.4375,133.85576923076923,6.97483,0.0005307855626326964,13.45523341962078,7.5411524551363085,12.438173708282745,4.896762871247194
Echo_Esports,786230820,92325,182838,8515,254296,324025,69729,1,0,251997.0576923077,29.591346153846153,3.24025,0.00011743981209630065,12.688575952291576,9.049584593096789,12.437172690601221,3.387481958917236
Etoiles,783918105,98865,38151,7929,863847,1097291,233444,1,0,251255.80288461538,31.6875,10.97291,0.0001261193088661874,13.908354972995014,8.978282203272398,12.434226834146884,3.455922281351402
赤見かるび (akamikarubi),781647960,156990,43617,4979,117363,436473,319110,1,0,250528.1923076923,50.31730769230769,4.36473,0.0002008435428800964,12.98648179667855,8.512984346642183,12.431326737316924,3.918349107230835
따효니 (ddahyoni),780169305,175260,29313,4451,360739,381686,20947,1,0,250054.26442307694,56.17307692307692,3.81686,0.00022466861379465288,12.85235356004128,8.400884069015854,12.42943323098308,4.028437583806314
